Match_ID,Season,Team1,Team2,Venue,City,Toss_Winner,Toss_Decision,Winner,Win_Margin,Win_Type,Win_By,Player_of_Match,Match_Type,Target_Score,Overs,Toss_Winner_Won_Match,Batting_First_Won
558,2016,Sunrisers Hyderabad,Rising Pune Supergiant,Sawai Mansingh Stadium,Jaipur,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,8,Wickets,8 wickets,Kane Williamson,League,209,20,Yes,Yes
559,2016,Sunrisers Hyderabad,Delhi Daredevils,JSCA International Stadium,Ranchi,Delhi Daredevils,Field,Sunrisers Hyderabad,9,Wickets,9 wickets,,League,144,20,No,Yes
560,2016,Kolkata Knight Riders,Rising Pune Supergiant,Holkar Cricket Stadium,Indore,Kolkata Knight Riders,Bat,Rising Pune Supergiant,9,Wickets,9 wickets,Imran Tahir,League,207,20,No,No
561,2016,Gujarat Lions,Delhi Daredevils,DY Patil Stadium,Navi Mumbai,Gujarat Lions,Bat,Delhi Daredevils,4,Runs,4 runs,Rishabh Pant,League,131,20,No,No
562,2016,Rising Pune Supergiant,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,Raipur,Kolkata Knight Riders,Bat,Kolkata Knight Riders,1,Wickets,1 wickets,Andre Russell,League,219,20,Yes,Yes
563,2016,Kings XI Punjab,Delhi Daredevils,,Kolkata,Delhi Daredevils,Bat,Kings XI Punjab,10,Wickets,10 wickets,Chris Gayle,League,163,20,No,No
564,2016,Rajasthan Royals,Delhi Daredevils,Rajiv Gandhi International Stadium,,Delhi Daredevils,Bat,Rajasthan Royals,3,Wickets,3 wickets,Ajinkya Rahane,League,152,20,No,No
565,2016,Mumbai Indians,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Pune,Mumbai Indians,Bat,Rising Pune Supergiant,9,Wickets,9 wickets,Ben Stokes,League,145,20,No,No
566,2016,Sunrisers Hyderabad,Kings XI Punjab,Barabati Stadium,Cuttack,Sunrisers Hyderabad,Field,Kings XI Punjab,8,Runs,8 runs,Glenn Maxwell,League,138,20,No,Yes
567,2016,Delhi Daredevils,Rising Pune Supergiant,Holkar Cricket Stadium,Indore,Rising Pune Supergiant,Field,Rising Pune Supergiant,4,Wickets,4 wickets,Steven Smith,League,144,20,Yes,No
568,2016,Rising Pune Supergiant,Rajasthan Royals,BRSABV Ekana Cricket Stadium,Lucknow,Rising Pune Supergiant,Bat,Rising Pune Supergiant,10,Wickets,10 wickets,Steven Smith,League,210,20,Yes,Yes
569,2016,Rising Pune Supergiant,Mumbai Indians,HPCA Stadium,Dharamsala,Mumbai Indians,Field,Rising Pune Supergiant,1,Wickets,1 wickets,MS Dhoni,League,209,20,No,Yes
570,2016,Royal Challengers Bangalore,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,Lucknow,Royal Challengers Bangalore,Field,Sunrisers Hyderabad,98,Runs,98 runs,Heinrich Klaasen,League,219,20,No,Yes
571,2016,Kings XI Punjab,Rising Pune Supergiant,DY Patil Stadium,Navi Mumbai,Kings XI Punjab,Bat,Rising Pune Supergiant,31,Runs,31 runs,MS Dhoni,League,131,20,No,No
572,2016,Rajasthan Royals,Rising Pune Supergiant,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,Field,Rising Pune Supergiant,97,Runs,97 runs,MS Dhoni,League,211,20,No,Yes
573,2016,Gujarat Lions,Sunrisers Hyderabad,DY Patil Stadium,Navi Mumbai,Gujarat Lions,Bat,Gujarat Lions,6,Wickets,6 wickets,Aaron Finch,League,143,20,Yes,Yes
574,2016,Kings XI Punjab,Gujarat Lions,Punjab Cricket Association Stadium,Mohali,Gujarat Lions,Bat,Gujarat Lions,1,Wickets,1 wickets,Ravindra Jadeja,League,205,20,Yes,Yes
575,2016,Kolkata Knight Riders,Delhi Daredevils,DY Patil Stadium,Navi Mumbai,Kolkata Knight Riders,Bat,Delhi Daredevils,9,Wickets,9 wickets,Kevin Pietersen,League,211,20,No,No
576,2016,Sunrisers Hyderabad,Mumbai Indians,Holkar Cricket Stadium,Indore,Mumbai Indians,Field,Mumbai Indians,1,Wickets,1 wickets,Tilak Varma,League,197,20,Yes,No
577,2016,Rising Pune Supergiant,Delhi Daredevils,Holkar Cricket Stadium,Indore,Delhi Daredevils,Bat,Rising Pune Supergiant,73,Runs,73 runs,Ben Stokes,Playoff,156,20,No,No
578,2016,Delhi Daredevils,Rising Pune Supergiant,BRSABV Ekana Cricket Stadium,Lucknow,,Field,Rising Pune Supergiant,7,Wickets,7 wickets,Imran Tahir,Playoff,208,20,No,Yes
579,2016,Gujarat Lions,Mumbai Indians,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Mumbai Indians,Field,Gujarat Lions,58,Runs,58 runs,Ravindra Jadeja,Playoff,191,20,No,Yes
580,2016,Mumbai Indians,Rising Pune Supergiant,Rajiv Gandhi International Stadium,Hyderabad,Mumbai Indians,Field,Mumbai Indians,3,Wickets,3 wickets,Quinton de Kock,Final,162,20,Yes,No
581,2016,Rajasthan Royals,Delhi Daredevils,M Chinnaswamy Stadium,Bangalore,Delhi Daredevils,Field,Delhi Daredevils,6,Wickets,6 wickets,Virender Sehwag,Playoff,183,20,Yes,No
582,2017,Rajasthan Royals,Rising Pune Supergiant,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,Field,Rajasthan Royals,21,Runs,21 runs,Yusuf Pathan,League,202,20,Yes,No
583,2017,Kings XI Punjab,Rajasthan Royals,JSCA International Stadium,Ranchi,Kings XI Punjab,Bat,Rajasthan Royals,78,Runs,78 runs,Ajinkya Rahane,League,214,20,No,No
584,2017,Kolkata Knight Riders,Delhi Daredevils,Sardar Patel Stadium,Ahmedabad,Delhi Daredevils,Field,Kolkata Knight Riders,8,Wickets,8 wickets,BB McCullum,League,138,20,No,Yes
585,2017,Rising Pune Supergiant,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Raipur,Rising Pune Supergiant,Field,Rising Pune Supergiant,52,Runs,52 runs,MS Dhoni,League,173,20,Yes,No
586,2017,Rajasthan Royals,Rising Pune Supergiant,Shaheed Veer Narayan Singh International Stadium,Raipur,Rising Pune Supergiant,Bat,Rising Pune Supergiant,73,Runs,73 runs,Ben Stokes,League,165,20,Yes,Yes
587,2017,Royal Challengers Bangalore,Rising Pune Supergiant,Sardar Patel Stadium,Ahmedabad,Royal Challengers Bangalore,Bat,Rising Pune Supergiant,4,Wickets,4 wickets,Steven Smith,League,154,20,No,No
588,2017,Rajasthan Royals,Delhi Daredevils,Eden Gardens,Kolkata,Delhi Daredevils,Bat,Rajasthan Royals,10,Wickets,10 wickets,Yusuf Pathan,League,192,20,No,No
589,2017,Delhi Daredevils,Rajasthan Royals,HPCA Stadium,Dharamsala,Rajasthan Royals,Bat,Rajasthan Royals,3,Runs,3 runs,Yuzvendra Chahal,League,192,20,Yes,Yes
590,2017,Rising Pune Supergiant,Rajasthan Royals,JSCA International Stadium,Ranchi,Rajasthan Royals,Bat,,4,Wickets,4 wickets,Sanju Samson,League,189,20,Yes,Yes
591,2017,Mumbai Indians,Kolkata Knight Riders,HPCA Stadium,Dharamsala,Kolkata Knight Riders,Bat,Kolkata Knight Riders,10,Wickets,10 wickets,Sunil Narine,League,154,20,Yes,Yes
592,2017,Delhi Daredevils,Kings XI Punjab,,Raipur,Kings XI Punjab,Field,Kings XI Punjab,24,Runs,24 runs,KL Rahul,League,192,20,Yes,No
593,2017,Kolkata Knight Riders,Rising Pune Supergiant,Punjab Cricket Association Stadium,Mohali,Rising Pune Supergiant,Field,Kolkata Knight Riders,4,Wickets,4 wickets,Venkatesh Iyer,League,197,20,No,Yes
594,2017,Rajasthan Royals,Rising Pune Supergiant,Eden Gardens,Kolkata,Rising Pune Supergiant,Bat,Rising Pune Supergiant,5,Wickets,5 wickets,,League,171,20,Yes,Yes
595,2017,Kolkata Knight Riders,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,Field,Mumbai Indians,9,Wickets,9 wickets,Suryakumar Yadav,League,189,20,Yes,No
596,2017,Kings XI Punjab,Rising Pune Supergiant,Rajiv Gandhi International Stadium,Hyderabad,Rising Pune Supergiant,Bat,Kings XI Punjab,21,Runs,21 runs,Adam Gilchrist,League,209,20,No,No
597,2017,Sunrisers Hyderabad,Kolkata Knight Riders,BRSABV Ekana Cricket Stadium,Lucknow,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,9,Wickets,9 wickets,Kane Williamson,League,135,20,Yes,Yes
598,2017,Rajasthan Royals,Sunrisers Hyderabad,Arun Jaitley Stadium,Delhi,Rajasthan Royals,Field,Rajasthan Royals,6,Wickets,6 wickets,Trent Boult,League,159,20,Yes,No
599,2017,Mumbai Indians,Royal Challengers Bangalore,VCA Stadium,Nagpur,Mumbai Indians,Bat,Mumbai Indians,2,Wickets,2 wickets,Kieron Pollard,League,169,20,Yes,Yes
600,2017,Rajasthan Royals,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,Lucknow,Sunrisers Hyderabad,Bat,Rajasthan Royals,8,Runs,8 runs,Sanju Samson,League,144,20,No,No
601,2017,Rajasthan Royals,Kings XI Punjab,Holkar Cricket Stadium,Indore,Rajasthan Royals,Field,Rajasthan Royals,25,Runs,25 runs,Trent Boult,League,192,20,Yes,No
602,2017,Mumbai Indians,Kings XI Punjab,Maharashtra Cricket Association Stadium,Pune,Kings XI Punjab,Bat,Mumbai Indians,46,Runs,46 runs,Krunal Pandya,League,211,20,No,No
603,2017,Rising Pune Supergiant,Mumbai Indians,Holkar Cricket Stadium,Indore,Mumbai Indians,Field,Rising Pune Supergiant,3,Wickets,3 wickets,MS Dhoni,League,194,20,No,Yes
604,2017,Rising Pune Supergiant,Delhi Daredevils,Sawai Mansingh Stadium,Jaipur,Rising Pune Supergiant,Field,Rising Pune Supergiant,10,Wickets,10 wickets,Ajinkya Rahane,League,192,20,Yes,No
605,2017,Rising Pune Supergiant,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,88,Runs,88 runs,Shane Bond,League,178,20,Yes,No
606,2017,Kolkata Knight Riders,Kings XI Punjab,BRSABV Ekana Cricket Stadium,Lucknow,Kolkata Knight Riders,Bat,Kolkata Knight Riders,51,Runs,51 runs,Manoj Tiwary,League,181,20,Yes,Yes
607,2017,Kings XI Punjab,Rajasthan Royals,Narendra Modi Stadium,Ahmedabad,Rajasthan Royals,Bat,Rajasthan Royals,10,Wickets,10 wickets,Trent Boult,League,215,20,Yes,Yes
608,2017,Kolkata Knight Riders,Rising Pune Supergiant,Rajiv Gandhi International Stadium,Hyderabad,Rising Pune Supergiant,Field,Rising Pune Supergiant,4,Wickets,4 wickets,MS Dhoni,League,132,20,Yes,No
609,2017,Sunrisers Hyderabad,Delhi Daredevils,Punjab Cricket Association Stadium,Mohali,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,59,Runs,59 runs,Wriddhiman Saha,League,164,20,Yes,Yes
610,2017,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,92,Runs,92 runs,Yuzvendra Chahal,League,141,20,Yes,Yes
611,2017,Kings XI Punjab,Mumbai Indians,Sawai Mansingh Stadium,Jaipur,Mumbai Indians,Bat,Mumbai Indians,5,Wickets,5 wickets,Sachin Tendulkar,League,209,20,Yes,Yes
612,2017,Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,Mumbai,Rajasthan Royals,Bat,Rajasthan Royals,65,Runs,65 runs,Jos Buttler,League,156,20,Yes,Yes
613,2017,Royal Challengers Bangalore,Kings XI Punjab,Barabati Stadium,Cuttack,Kings XI Punjab,Bat,Kings XI Punjab,85,Runs,85 runs,KL Rahul,League,195,20,Yes,Yes
614,2017,Kolkata Knight Riders,Rising Pune Supergiant,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Kolkata Knight Riders,Bat,Kolkata Knight Riders,55,Runs,55 runs,Sourav Ganguly,League,185,20,Yes,Yes
615,2017,Kolkata Knight Riders,Sunrisers Hyderabad,VCA Stadium,Nagpur,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,7,Wickets,7 wickets,Heinrich Klaasen,League,192,20,Yes,No
616,2017,Rising Pune Supergiant,Royal Challengers Bangalore,Punjab Cricket Association Stadium,Mohali,Royal Challengers Bangalore,Bat,Rising Pune Supergiant,79,Runs,79 runs,MS Dhoni,League,216,20,No,No
617,2017,Royal Challengers Bangalore,Kolkata Knight Riders,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,Field,Kolkata Knight Riders,8,Wickets,8 wickets,Nitish Rana,League,178,20,No,Yes
618,2017,Kolkata Knight Riders,Kings XI Punjab,Barabati Stadium,Cuttack,Kolkata Knight Riders,Bat,Kings XI Punjab,10,Wickets,10 wickets,Mohammad Shami,League,215,20,No,No
619,2017,Rising Pune Supergiant,Delhi Daredevils,HPCA Stadium,,Delhi Daredevils,Bat,Rising Pune Supergiant,12,Runs,12 runs,Ajinkya Rahane,League,136,20,No,No
620,2017,Rajasthan Royals,Kings XI Punjab,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,Bat,Kings XI Punjab,15,Runs,15 runs,Michael Hussey,League,199,20,No,No
621,2017,Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium,Hyderabad,Mumbai Indians,Bat,,4,Wickets,4 wickets,Bhuvneshwar Kumar,League,151,20,No,No
622,2017,Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,Mumbai,Rajasthan Royals,Field,Delhi Daredevils,10,Wickets,10 wickets,Virender Sehwag,League,187,20,No,Yes
623,2017,Kings XI Punjab,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,Kings XI Punjab,Bat,Kings XI Punjab,13,Runs,13 runs,Adam Gilchrist,League,200,20,Yes,Yes
624,2017,Kolkata Knight Riders,Kings XI Punjab,Shaheed Veer Narayan Singh International Stadium,Raipur,Kings XI Punjab,Bat,Kings XI Punjab,4,Wickets,4 wickets,Chris Gayle,League,216,20,Yes,Yes
625,2017,Royal Challengers Bangalore,Kolkata Knight Riders,HPCA Stadium,Dharamsala,,Field,Royal Challengers Bangalore,78,Runs,78 runs,Yuzvendra Chahal,League,190,20,Yes,No
626,2017,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Field,Rajasthan Royals,6,Wickets,6 wickets,Riyan Parag,League,182,20,Yes,No
627,2017,Kings XI Punjab,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,Kings XI Punjab,Field,Kolkata Knight Riders,3,Wickets,3 wickets,Manoj Tiwary,League,205,20,No,Yes
628,2017,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,60,Runs,60 runs,Virat Kohli,League,176,20,Yes,No
629,2017,Mumbai Indians,Delhi Daredevils,BRSABV Ekana Cricket Stadium,Lucknow,Delhi Daredevils,Bat,Mumbai Indians,39,Runs,39 runs,Kieron Pollard,League,158,20,No,No
630,2017,Rajasthan Royals,Royal Challengers Bangalore,JSCA International Stadium,Ranchi,Rajasthan Royals,Bat,Royal Challengers Bangalore,7,Wickets,7 wickets,Mohammed Siraj,League,199,20,No,No
631,2017,Sunrisers Hyderabad,Kings XI Punjab,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,Field,Sunrisers Hyderabad,3,Wickets,3 wickets,Wriddhiman Saha,League,185,20,No,Yes
632,2017,Mumbai Indians,Delhi Daredevils,HPCA Stadium,Dharamsala,Mumbai Indians,Field,Mumbai Indians,7,Wickets,7 wickets,Kieron Pollard,League,171,20,Yes,No
633,2017,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Bat,Mumbai Indians,5,Wickets,5 wickets,Jasprit Bumrah,League,157,20,No,No
634,2017,Sunrisers Hyderabad,Delhi Daredevils,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Sunrisers Hyderabad,Bat,Delhi Daredevils,1,Wickets,1 wickets,,League,186,20,No,No
635,2017,Rajasthan Royals,Delhi Daredevils,BRSABV Ekana Cricket Stadium,Lucknow,Rajasthan Royals,Field,Rajasthan Royals,1,Wickets,1 wickets,Yuzvendra Chahal,League,216,20,Yes,No
636,2017,Delhi Daredevils,Mumbai Indians,VCA Stadium,Nagpur,Delhi Daredevils,Field,Mumbai Indians,2,Wickets,2 wickets,Tilak Varma,Playoff,154,20,No,Yes
637,2017,Kings XI Punjab,Sunrisers Hyderabad,Barabati Stadium,Cuttack,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,9,Wickets,9 wickets,Kane Williamson,Playoff,183,20,Yes,No
638,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,Kolkata Knight Riders,Field,Kolkata Knight Riders,8,Wickets,8 wickets,Andre Russell,Playoff,205,20,Yes,No
639,2017,Delhi Daredevils,Kolkata Knight Riders,MA Chidambaram Stadium,Chennai,Delhi Daredevils,Field,Kolkata Knight Riders,4,Wickets,4 wickets,BB McCullum,Final,186,20,No,Yes
640,2017,Rajasthan Royals,Kings XI Punjab,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Kings XI Punjab,Field,Rajasthan Royals,41,Runs,41 runs,Shane Watson,Playoff,202,20,No,Yes
641,2018,Royal Challengers Bangalore,Delhi Daredevils,HPCA Stadium,Dharamsala,Delhi Daredevils,Field,Delhi Daredevils,2,Wickets,2 wickets,Morne Morkel,League,166,20,Yes,No
642,2018,Mumbai Indians,Kings XI Punjab,VCA Stadium,Nagpur,Mumbai Indians,Bat,Kings XI Punjab,6,Wickets,6 wickets,Adam Gilchrist,League,169,20,No,No
643,2018,Sunrisers Hyderabad,Chennai Super Kings,Holkar Cricket Stadium,Indore,Sunrisers Hyderabad,Field,Chennai Super Kings,53,Runs,53 runs,Michael Hussey,League,220,20,No,Yes
644,2018,Royal Challengers Bangalore,Rajasthan Royals,Shaheed Veer Narayan Singh International Stadium,Raipur,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,64,Runs,64 runs,Shane Bond,League,185,20,Yes,No
645,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,52,Runs,52 runs,Rajat Patidar,League,153,20,Yes,Yes
646,2018,Delhi Daredevils,Chennai Super Kings,,Ahmedabad,Chennai Super Kings,Bat,Chennai Super Kings,54,Runs,54 runs,MS Dhoni,League,165,20,Yes,Yes
647,2018,Delhi Daredevils,Mumbai Indians,Punjab Cricket Association Stadium,Mohali,Delhi Daredevils,Bat,Mumbai Indians,27,Runs,27 runs,Sachin Tendulkar,League,209,20,No,No
648,2018,Mumbai Indians,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,50,Runs,50 runs,AB de Villiers,League,204,20,Yes,Yes
649,2018,Royal Challengers Bangalore,Kolkata Knight Riders,DY Patil Stadium,Navi Mumbai,Royal Challengers Bangalore,Field,Kolkata Knight Riders,1,Wickets,1 wickets,Pat Cummins,League,203,20,No,Yes
650,2018,Kings XI Punjab,Delhi Daredevils,DY Patil Stadium,Navi Mumbai,Kings XI Punjab,Field,,94,Runs,94 runs,Michael Hussey,League,170,20,Yes,No
651,2018,Mumbai Indians,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Mohali,Sunrisers Hyderabad,Bat,Mumbai Indians,10,Wickets,10 wickets,Ishan Kishan,League,204,20,No,No
652,2018,Delhi Daredevils,Mumbai Indians,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Delhi Daredevils,Field,Delhi Daredevils,40,Runs,40 runs,David Warner,League,219,20,Yes,No
653,2018,Kings XI Punjab,Delhi Daredevils,JSCA International Stadium,Ranchi,Kings XI Punjab,Field,Delhi Daredevils,10,Runs,10 runs,Axar Patel,League,220,20,No,Yes
654,2018,Sunrisers Hyderabad,Rajasthan Royals,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Sunrisers Hyderabad,Field,Rajasthan Royals,8,Wickets,8 wickets,Shane Warne,League,209,20,No,Yes
655,2018,Delhi Daredevils,Kings XI Punjab,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Kings XI Punjab,Field,Delhi Daredevils,8,Wickets,8 wickets,Shreyas Iyer,League,152,20,No,Yes
656,2018,Sunrisers Hyderabad,Delhi Daredevils,Barabati Stadium,,Delhi Daredevils,Field,Sunrisers Hyderabad,10,Wickets,10 wickets,Jonny Bairstow,League,147,20,No,Yes
657,2018,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Delhi Daredevils,Field,Delhi Daredevils,9,Wickets,9 wickets,Kevin Pietersen,League,156,20,Yes,No
658,2018,Chennai Super Kings,Kings XI Punjab,VCA Stadium,Nagpur,Kings XI Punjab,Bat,Chennai Super Kings,28,Runs,28 runs,Devon Conway,League,204,20,No,No
659,2018,Mumbai Indians,Royal Challengers Bangalore,BRSABV Ekana Cricket Stadium,Lucknow,Mumbai Indians,Bat,Mumbai Indians,30,Runs,30 runs,,League,198,20,Yes,Yes
660,2018,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,Bat,Royal Challengers Bangalore,91,Runs,91 runs,Virat Kohli,League,219,20,No,No
661,2018,Mumbai Indians,Kings XI Punjab,DY Patil Stadium,Navi Mumbai,Kings XI Punjab,Bat,Kings XI Punjab,38,Runs,38 runs,David Miller,League,212,20,Yes,Yes
662,2018,Kolkata Knight Riders,Kings XI Punjab,Sawai Mansingh Stadium,Jaipur,Kolkata Knight Riders,Bat,Kolkata Knight Riders,6,Wickets,6 wickets,Robin Uthappa,League,207,20,Yes,Yes
663,2018,Chennai Super Kings,Mumbai Indians,Rajiv Gandhi International Stadium,Hyderabad,Chennai Super Kings,Bat,Chennai Super Kings,10,Wickets,10 wickets,Ruturaj Gaikwad,League,206,20,Yes,Yes
664,2018,Kolkata Knight Riders,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,Raipur,Chennai Super Kings,Field,Kolkata Knight Riders,4,Runs,4 runs,Andre Russell,League,136,20,No,Yes
665,2018,Delhi Daredevils,Sunrisers Hyderabad,HPCA Stadium,Dharamsala,Delhi Daredevils,Field,Delhi Daredevils,10,Wickets,10 wickets,Rishabh Pant,League,153,20,Yes,No
666,2018,Delhi Daredevils,Sunrisers Hyderabad,Eden Gardens,Kolkata,Sunrisers Hyderabad,Bat,Delhi Daredevils,56,Runs,56 runs,Rishabh Pant,League,175,20,No,No
667,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Field,Royal Challengers Bangalore,7,Runs,7 runs,Faf du Plessis,League,175,20,No,Yes
668,2018,Royal Challengers Bangalore,Kings XI Punjab,Rajiv Gandhi International Stadium,Hyderabad,Kings XI Punjab,Bat,Kings XI Punjab,8,Wickets,8 wickets,Chris Gayle,League,168,20,Yes,Yes
669,2018,Kings XI Punjab,Rajasthan Royals,HPCA Stadium,Dharamsala,,Bat,Kings XI Punjab,45,Runs,45 runs,KL Rahul,League,217,20,Yes,Yes
670,2018,Delhi Daredevils,Kolkata Knight Riders,M Chinnaswamy Stadium,Bangalore,Kolkata Knight Riders,Bat,Kolkata Knight Riders,89,Runs,89 runs,Nitish Rana,League,200,20,Yes,Yes
671,2018,Kings XI Punjab,Chennai Super Kings,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,Bat,Kings XI Punjab,28,Runs,28 runs,Adam Gilchrist,League,185,20,Yes,Yes
672,2018,Royal Challengers Bangalore,Mumbai Indians,Shaheed Veer Narayan Singh International Stadium,Raipur,Royal Challengers Bangalore,Field,Mumbai Indians,54,Runs,54 runs,Quinton de Kock,League,167,20,No,Yes
673,2018,Mumbai Indians,Kings XI Punjab,Holkar Cricket Stadium,Indore,Kings XI Punjab,Bat,Kings XI Punjab,62,Runs,62 runs,Adam Gilchrist,League,197,20,Yes,Yes
674,2018,Kings XI Punjab,Chennai Super Kings,Rajiv Gandhi International Stadium,Hyderabad,Chennai Super Kings,Bat,Kings XI Punjab,3,Wickets,3 wickets,Mayank Agarwal,League,184,20,No,No
675,2018,Kolkata Knight Riders,Delhi Daredevils,Punjab Cricket Association Stadium,Mohali,Kolkata Knight Riders,Field,,1,Wickets,1 wickets,Nitish Rana,League,162,20,Yes,No
676,2018,Royal Challengers Bangalore,Chennai Super Kings,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,34,Runs,34 runs,Virat Kohli,League,220,20,Yes,Yes
677,2018,Sunrisers Hyderabad,Kings XI Punjab,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,Bat,Kings XI Punjab,19,Runs,19 runs,Adam Gilchrist,League,150,20,Yes,Yes
678,2018,Mumbai Indians,Kolkata Knight Riders,Holkar Cricket Stadium,Indore,Kolkata Knight Riders,Bat,Kolkata Knight Riders,3,Wickets,3 wickets,Venkatesh Iyer,League,132,20,Yes,Yes
679,2018,Kings XI Punjab,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Sunrisers Hyderabad,Bat,Kings XI Punjab,1,Wickets,1 wickets,KL Rahul,League,196,20,No,No
680,2018,Mumbai Indians,Delhi Daredevils,Sawai Mansingh Stadium,Jaipur,Mumbai Indians,Bat,Mumbai Indians,2,Wickets,2 wickets,Krunal Pandya,League,147,20,Yes,Yes
681,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Dr YS Rajasekhara Reddy ACA-VDCA Stadium,Visakhapatnam,Royal Challengers Bangalore,Bat,Sunrisers Hyderabad,4,Wickets,4 wickets,Travis Head,League,164,20,No,No
682,2018,Sunrisers Hyderabad,Delhi Daredevils,Barabati Stadium,Cuttack,Delhi Daredevils,Field,Sunrisers Hyderabad,4,Wickets,4 wickets,Kane Williamson,League,176,20,No,Yes
683,2018,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Field,Rajasthan Royals,22,Runs,22 runs,Shane Watson,League,200,20,No,Yes
684,2018,Delhi Daredevils,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,Raipur,Delhi Daredevils,Field,Chennai Super Kings,2,Wickets,2 wickets,Ambati Rayudu,League,220,20,No,Yes
685,2018,Kings XI Punjab,Delhi Daredevils,,Jaipur,Delhi Daredevils,Field,Kings XI Punjab,96,Runs,96 runs,Chris Gayle,League,207,20,No,Yes
686,2018,Kings XI Punjab,Rajasthan Royals,Rajiv Gandhi International Stadium,Hyderabad,Kings XI Punjab,Field,Rajasthan Royals,8,Wickets,8 wickets,Yusuf Pathan,League,190,20,No,Yes
687,2018,Rajasthan Royals,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,Rajasthan Royals,Field,Rajasthan Royals,6,Wickets,6 wickets,Yuzvendra Chahal,League,131,20,Yes,No
688,2018,Rajasthan Royals,Sunrisers Hyderabad,Holkar Cricket Stadium,Indore,Rajasthan Royals,Field,Rajasthan Royals,7,Wickets,7 wickets,Yuzvendra Chahal,League,191,20,Yes,No
689,2018,Kolkata Knight Riders,Chennai Super Kings,Rajiv Gandhi International Stadium,Hyderabad,Chennai Super Kings,Bat,Kolkata Knight Riders,6,Wickets,6 wickets,Sourav Ganguly,League,151,20,No,No
